col_0,col_1,Country Name,col_3,HDI Score,Life expectancy,Expected yrs of schooling,Mean yrs of schooling,GNI per capita,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50,col_51,col_52,col_53,col_54,col_55,col_56,col_57,col_58,col_59,col_60,col_61,col_62,col_63,col_64,col_65,col_66,col_67,col_68,col_69,col_70,col_71,col_72,col_73,col_74,col_75,col_76,col_77,col_78,col_79,col_80,col_81
-0.463,-0.938,Canada,-1.594,0.92,82.2,16.3,13.1,42582.0,-0.51,0.43,-1.158,0.18,-0.209,0.794,-0.843,-0.055,-0.616,1.06,0.433,0.415,1.473,-0.089,0.475,0.503,-0.158,-1.415,0.243,-0.424,1.677,-0.083,-0.474,-0.994,0.783,1.515,-1.436,1.243,1.5,-0.57,-0.898,-1.099,-1.177,-1.364,-1.121,-0.428,-1.08,0.577,0.57,-3.837,0.896,1.455,0.225,-0.307,-0.378,-1.506,0.103,-1.419,0.697,0.034,-0.673,-1.394,-3.233,-0.407,0.9,0.381,1.533,2.002,2.58,-1.635,1.271,0.701,1.587,0.307,-0.636,-0.474,1.318,1.445,0.257,0.286,0.34,1.256,-0.051
-0.466,0.515,"Hong Kong, China (SAR)",-0.599,0.918,84.2,15.7,11.6,54265.0,-0.27,0.208,1.503,1.392,-0.669,-1.254,2.171,0.286,-0.375,0.617,-1.378,0.463,-0.604,-0.038,-0.002,-2.493,3.243,0.219,-0.294,-1.366,-0.805,0.243,-0.772,0.136,-1.47,0.382,0.694,1.228,0.075,-0.358,-0.766,1.797,0.928,-0.532,-0.057,-0.01,0.163,-0.178,0.102,1.237,0.925,-1.636,0.629,1.369,1.258,-0.05,-0.986,-0.857,0.392,-0.855,0.888,0.184,1.508,1.851,-1.018,0.691,-0.31,0.044,0.543,-0.919,-0.345,0.123,-2.46,-2.133,0.401,-0.182,0.574,0.58,-0.989,-0.845,1.521,0.575,0.628
0.242,0.514,New Zealand,0.005,0.915,,,,,-0.979,0.272,0.877,0.918,1.04,0.294,-0.176,0.521,-0.318,0.684,-0.565,0.044,-0.23,-1.731,-0.589,-0.966,2.308,1.009,1.357,-0.974,1.077,0.951,1.61,0.084,-1.263,-0.373,0.717,-0.335,1.026,2.638,-0.461,-0.853,-1.77,0.501,-0.051,-1.134,1.495,0.155,1.498,-0.54,0.169,1.936,-0.299,-0.099,-0.533,-0.59,0.517,0.198,-1.035,-0.457,1.398,0.069,-1.0,-1.166,-1.086,0.143,0.785,1.141,-1.808,-0.15,-0.636,-1.09,-0.14,-1.027,1.855,1.341,0.058,1.559,-0.414,-0.811,-0.263,1.124,-0.291
-1.913,0.515,Sweden,0.047,0.913,82.3,16.1,12.3,46251.0,-0.444,-1.277,-0.221,-1.571,-0.606,-1.357,0.123,0.645,1.282,-1.366,1.021,0.558,-1.639,1.495,-1.092,1.629,-0.181,-0.845,-0.2,0.703,-2.17,0.527,0.227,-1.069,-0.776,-0.5,-1.73,-1.794,2.642,0.302,-2.253,-0.669,-0.578,-0.982,0.161,1.029,-1.313,-0.398,-0.313,-0.801,0.676,0.136,0.679,0.826,-1.027,0.331,2.156,0.325,0.651,-1.408,0.781,-2.811,-0.412,0.103,-0.701,1.604,0.844,0.293,-0.69,1.112,-0.779,-1.435,1.172,0.17,1.02,0.092,0.64,-2.194,0.113,-0.939,0.487,1.213,-0.665
-1.725,3.853,Liechtenstein,-0.45,0.912,80.2,14.6,12.4,75065.0,0.377,-1.081,0.027,-0.99,1.826,0.466,0.551,0.556,0.558,1.212,2.088,-2.53,-0.392,0.041,0.835,-0.582,-0.106,-1.499,0.232,-1.307,-1.194,-0.191,0.636,0.956,0.079,-0.17,1.334,-0.567,0.598,-0.386,0.336,-0.978,-0.258,1.605,0.662,-1.794,0.394,0.118,1.031,-0.398,-0.038,-0.096,-0.71,-0.225,-0.458,-0.809,-0.381,0.149,0.426,0.077,-0.215,-0.267,-1.455,0.248,0.976,0.46,-0.284,0.586,-0.053,0.464,0.644,0.107,-0.093,0.136,0.535,0.135,0.452,0.461,0.047,-0.078,0.793,-0.414,-0.584
-0.562,0.571,United Kingdom,0.623,0.909,80.8,16.3,13.3,37931.0,0.757,1.053,0.208,0.941,0.678,-0.036,0.044,0.09,-1.111,0.261,-1.586,-0.297,0.997,0.443,0.914,-1.174,0.996,-0.092,1.146,-1.598,-0.959,-0.198,-0.822,2.325,-0.641,1.637,2.497,-0.6,0.049,-2.205,-0.273,1.798,-0.636,1.224,-1.039,0.54,-0.802,0.151,-0.288,-0.447,0.234,-0.198,-2.115,1.667,-0.095,-1.026,-0.376,-0.302,-1.071,1.056,0.141,0.448,0.972,-1.07,-1.576,0.914,1.316,-1.671,0.254,-1.168,0.227,-0.543,-0.405,-0.223,1.03,-1.447,0.754,-0.515,1.28,0.944,2.343,-0.945,2.045
-1.013,1.136,Japan,-1.068,0.904,83.7,15.3,12.5,37268.0,-0.922,-0.04,-2.042,-0.982,-0.488,-1.615,1.695,-0.197,0.247,-0.369,-1.88,0.241,-0.466,0.952,-1.546,-0.198,1.703,-0.087,-0.777,-0.63,-1.353,0.51,-1.219,-0.017,0.659,-0.183,0.046,-0.657,0.722,1.39,0.97,0.553,-0.565,-1.571,1.688,-0.327,-0.505,-0.579,0.431,0.612,1.165,-0.436,-0.424,-0.678,-0.388,-2.065,-0.561,0.933,-0.784,-1.097,-1.525,0.354,0.143,0.687,0.395,0.134,-2.909,0.371,-1.315,-0.14,-0.077,0.919,0.129,0.369,-0.371,-0.309,-2.024,1.756,1.541,1.507,0.145,-0.052,0.225
0.314,0.954,Korea (Republic of),-0.142,0.901,82.1,16.6,12.2,34541.0,0.87,0.682,-0.247,-0.225,2.157,1.165,-0.623,-0.151,0.498,0.143,1.871,-1.151,0.64,-1.021,1.59,2.068,-1.638,0.548,1.559,0.732,-1.584,1.273,-0.569,0.505,1.027,-0.02,-0.641,-0.698,-0.365,-1.345,-1.098,-0.937,1.871,-0.932,0.245,-1.171,-0.803,-0.896,-0.114,-1.559,0.625,1.048,0.063,-0.614,-0.216,1.222,-0.489,0.064,0.688,-0.623,-0.134,0.904,-0.826,-0.398,0.363,0.676,-1.223,-0.735,-0.135,2.018,1.295,0.746,-0.353,0.012,-0.508,-0.241,-1.553,1.546,-0.856,-0.726,-1.044,-0.873,-1.984
-0.908,0.651,Israel,0.12,0.9,82.6,16.0,12.8,31215.0,1.356,0.028,-0.682,0.55,-0.606,-0.735,0.195,-0.195,1.14,-1.776,0.39,0.386,-0.191,0.473,0.574,-1.832,-1.786,0.95,-1.53,-0.197,0.413,0.126,-0.124,0.085,0.6,-0.482,2.824,-0.653,2.388,-1.003,-0.619,1.106,-0.851,-2.286,0.727,0.202,-0.732,-0.449,-0.056,-1.078,-0.169,-1.069,-0.276,1.525,0.334,-0.4,-2.745,0.703,-0.235,0.503,-0.86,-0.387,-0.392,-2.492,1.163,-0.797,-0.916,-0.846,-0.718,0.111,0.405,-0.185,0.031,0.121,-0.748,-0.829,1.005,0.033,0.111,2.15,0.848,0.165,-0.52
-1.412,-0.315,Luxembourg,0.514,0.9,81.9,13.9,12.0,62471.0,0.413,0.03,-1.002,-0.968,0.742,-0.81,-0.742,1.134,1.581,0.409,-0.868,-0.204,0.324,-0.268,1.4,-1.051,-0.622,-0.059,1.63,-0.465,-0.214,-0.469,-1.064,-0.714,1.619,1.099,-1.319,-0.387,0.18,-0.331,-1.507,0.201,2.441,-0.783,-0.628,-1.557,2.722,0.234,-0.377,0.343,1.352,0.345,-1.159,-0.445,-0.171,0.157,0.405,-1.774,1.589,1.212,0.694,0.713,1.678,0.66,0.18,-0.458,-0.82,1.744,-1.104,-0.327,-0.839,-1.158,-0.683,-0.639,-0.125,0.022,-1.505,1.536,0.674,-1.005,1.866,1.132,0.097
1.466,0.759,France,0.712,0.898,82.4,16.3,11.6,38085.0,1.877,0.938,-0.281,0.105,0.299,0.201,-1.32,0.594,-1.015,-1.029,0.535,1.755,-1.148,0.847,-1.342,1.497,0.583,1.856,-0.373,0.044,0.379,-0.993,-0.01,-1.821,0.416,1.96,0.02,-0.636,-0.273,1.416,-1.004,0.257,0.437,0.766,1.286,0.04,0.844,0.599,1.345,0.623,-2.365,-0.384,-1.816,1.601,-0.066,-0.002,-0.846,-3.922,0.501,-1.493,2.573,-0.689,-0.073,-1.117,-1.343,0.349,0.336,-0.214,0.26,0.492,-0.681,0.511,1.109,0.982,-0.422,-0.429,0.402,1.783,1.516,1.084,-0.323,-0.168,1.845
-0.226,-0.773,Belgium,-1.125,0.895,81.0,16.6,11.4,41243.0,-0.774,-0.516,1.798,-1.334,1.302,1.149,-0.612,-2.94,-0.811,-1.353,-2.636,1.573,0.085,-2.127,-1.366,1.858,0.497,0.224,-0.243,-1.746,0.69,-1.445,-1.689,-0.706,-1.217,0.451,0.18,0.208,-0.836,0.773,-1.182,-0.344,0.092,-0.414,-0.257,-1.423,1.102,0.853,-0.733,0.642,2.052,-0.762,-0.514,0.892,-1.709,-1.067,-1.61,0.284,-0.487,-0.169,0.5,-1.41,-0.182,-1.048,-0.959,0.342,0.29,-1.003,0.774,0.763,0.682,-1.018,1.423,-0.431,1.208,0.08,-0.352,0.074,0.718,-0.722,0.841,0.15,1.029
0.068,-0.237,Finland,-1.534,0.894,81.0,17.0,11.2,38868.0,-1.245,0.096,0.641,-0.601,1.562,-1.016,-0.037,0.656,-1.258,-1.522,0.003,-0.466,-2.991,-0.099,-0.149,-0.103,1.07,-0.346,-1.89,0.495,0.266,0.666,-1.12,-1.392,1.363,0.083,1.345,0.36,1.097,-0.158,0.996,-0.749,0.476,0.461,0.278,0.461,0.492,-0.494,-0.74,-0.787,-1.706,2.586,0.898,-0.155,0.392,-1.259,0.753,-1.425,-0.01,0.283,-1.991,-1.298,-0.941,0.688,-1.182,0.508,0.394,-0.359,0.841,-0.456,1.042,-0.758,-0.133,-1.331,-0.475,0.122,-0.996,2.472,0.291,-0.871,1.229,-0.094,-0.922
-1.425,-0.485,Austria,1.278,0.893,81.6,15.9,11.3,43609.0,-1.779,-0.462,-0.571,0.32,0.032,0.062,-0.429,0.195,-0.234,1.113,0.328,-0.151,-0.187,-0.603,0.503,-1.239,-1.2,-1.612,-0.455,0.383,0.658,0.578,0.671,1.704,-0.605,0.037,0.36,-0.911,0.867,0.308,-0.698,0.338,2.53,-1.522,-0.933,-0.924,-1.606,0.284,2.121,-0.978,-0.627,0.419,1.256,-1.813,-0.089,-1.005,-1.082,-0.212,0.063,-0.102,-0.361,-1.462,-1.895,-0.347,-0.538,1.1,0.596,-1.3,0.574,0.503,0.552,-0.979,-1.386,-0.771,-0.803,-0.956,0.35,-0.031,0.667,-0.745,1.017,0.803,2.418
-0.544,0.082,Slovenia,0.332,0.89,80.6,17.3,12.1,28664.0,1.496,-0.434,0.573,-1.593,-0.753,0.429,-0.692,-0.019,0.466,-0.629,0.924,-0.074,-1.63,0.432,1.796,2.096,-2.316,-0.263,-1.04,-0.409,-0.07,0.577,0.604,-0.115,0.91,-2.384,-0.499,1.271,-0.497,-0.6,0.124,-0.545,-0.994,0.798,-0.997,-0.451,0.395,0.963,0.978,-0.507,-0.041,0.613,1.188,-0.019,1.61,-0.723,-0.339,-0.302,-0.728,-2.477,0.122,1.01,-0.16,0.918,-0.183,-1.425,-0.95,1.434,-0.497,-0.329,1.897,-0.139,-0.524,-0.348,1.943,-0.399,0.201,-0.215,0.674,-0.052,0.126,-0.668,-0.031
0.111,2.315,Italy,-0.748,0.887,83.3,16.3,10.9,33573.0,0.654,-0.309,1.399,0.44,0.46,0.693,-1.406,-0.389,0.987,1.534,-1.014,-0.452,1.206,0.47,0.706,1.594,0.858,-0.336,-0.608,1.006,-1.187,-0.129,-0.392,-0.346,1.574,0.745,-0.951,-0.98,0.576,0.14,-0.381,1.817,-1.12,-0.555,0.688,0.294,1.073,1.166,-2.385,0.24,-0.146,1.138,-0.816,0.102,-0.94,0.367,1.466,1.587,-0.913,0.501,0.087,-1.515,0.325,1.21,-1.165,-0.974,-1.218,-0.696,0.715,0.719,1.635,1.17,-0.184,0.994,-0.451,0.077,2.11,0.866,-0.928,0.58,-0.698,-2.196,1.246
-1.151,-1.867,Spain,1.551,0.884,82.8,17.7,9.8,32779.0,-0.056,0.222,0.925,-0.02,-0.678,0.176,-0.083,1.124,-0.076,-0.536,0.086,0.195,0.777,-0.708,-0.243,0.679,-0.828,0.96,-0.137,-1.127,1.058,1.407,-1.018,0.889,0.457,0.134,-0.342,-1.618,-1.509,0.073,-1.269,-1.269,-0.755,0.012,-0.444,-0.773,-0.853,-0.059,-0.565,1.485,1.006,-1.421,-1.154,1.167,-1.808,-0.796,-1.409,0.4,0.701,1.519,-0.731,0.274,1.1,-0.645,1.471,0.23,0.396,0.529,0.309,0.17,0.441,-0.005,0.506,-0.042,0.154,1.184,-0.625,-0.354,0.193,0.67,-0.081,0.471,-1.155
0.376,0.686,Czech Republic,0.116,0.877,78.8,16.8,12.3,28144.0,0.28,-0.479,0.06,0.552,2.013,-0.367,-1.505,0.948,-0.32,-1.707,-0.925,-0.758,0.467,-0.712,-1.026,-0.812,-2.018,0.462,0.958,1.128,-0.589,-0.484,-1.027,-1.122,-1.496,0.428,-1.007,0.381,0.185,0.969,-0.168,1.536,0.032,-0.093,-0.854,-0.058,0.965,-0.221,-1.812,-2.047,-1.058,1.752,0.497,1.588,0.618,1.746,-1.533,0.166,0.845,0.117,0.245,-0.266,-2.248,0.793,-1.325,-0.724,-0.63,1.356,0.134,0.482,-0.839,-0.443,-1.008,-0.186,0.451,0.257,1.44,0.085,1.459,-0.944,0.459,0.988,-2.398
-0.601,-1.613,Greece,1.179,0.865,81.1,17.2,10.5,24808.0,-1.125,1.256,-0.647,0.224,0.137,-0.828,0.76,-0.773,0.152,-1.117,0.255,-1.131,1.521,-0.111,1.23,-0.049,0.145,-1.179,0.208,0.154,-0.936,0.955,-0.373,-0.767,-0.918,-0.711,0.048,-0.817,0.453,0.967,0.599,-0.111,-1.726,-1.272,-0.643,-1.514,0.704,0.191,-0.951,-0.221,0.261,-2.509,0.635,-0.685,0.347,1.027,0.269,0.837,0.604,-1.031,-1.243,-0.103,-1.125,-0.755,1.346,3.378,-1.57,-0.5,-0.612,-0.759,-1.31,-1.526,-0.769,-1.249,-1.137,-0.662,0.352,1.409,-0.207,-0.99,0.908,0.446,-1.408
-0.292,-0.472,Estonia,0.068,0.865,77.0,16.5,12.5,26362.0,2.446,-0.895,0.698,1.364,-0.365,0.086,0.082,0.407,-0.835,1.236,-0.895,0.623,-0.949,-0.897,-0.965,-0.16,0.793,0.172,0.308,-0.337,-0.178,-0.039,0.645,0.068,1.323,-0.384,-0.564,0.321,1.707,0.494,-1.208,0.299,0.022,-1.153,0.699,0.631,1.852,-1.15,-3.139,-1.333,-0.578,-0.769,0.4,0.801,-1.008,0.808,1.149,0.368,1.515,-0.513,-0.945,1.364,-0.581,2.233,1.185,0.516,0.971,0.532,-0.497,-0.821,-0.387,0.552,0.511,0.785,1.235,0.399,-0.661,0.019,0.129,-0.917,0.334,-0.64,-3.25
-0.602,1.089,Brunei Darussalam,2.061,0.864,79.0,14.9,9.0,72843.0,0.129,-0.187,0.393,0.125,0.185,-1.072,-1.458,-0.972,2.09,-0.156,-0.408,0.63,1.747,0.842,1.628,0.331,-0.122,0.672,-1.096,-0.02,-0.913,-0.608,0.928,1.029,-0.169,-0.411,-1.494,-2.404,-0.771,-0.362,0.809,0.833,1.694,0.968,-0.629,1.765,-0.418,-0.194,-0.137,-1.652,0.295,-0.459,-2.014,0.765,-1.53,-0.12,-1.574,-0.458,-0.542,1.77,0.646,-0.438,-0.003,-0.693,0.898,-0.078,1.395,-1.03,0.074,0.945,0.753,-0.78,0.939,-0.652,0.637,1.708,0.799,-1.695,-0.243,-0.111,-0.38,-1.135,2.112
1.852,0.064,Andorra,1.755,0.859,81.5,13.5,10.3,47979.0,0.109,-0.44,0.895,-0.429,-1.347,-2.921,-0.309,-1.38,-1.608,-0.548,-0.996,-0.804,0.932,-0.369,-0.284,1.451,-0.458,1.528,-0.881,-0.107,-0.417,0.593,-0.497,0.502,0.08,1.022,1.255,1.392,-1.278,0.742,-0.85,-0.63,0.151,0.399,-0.118,2.792,-1.098,0.745,-1.142,0.967,-0.065,0.582,-0.867,1.073,1.537,1.514,0.408,1.071,1.674,0.91,-1.016,0.612,-0.145,1.026,-0.694,-0.515,1.557,2.446,2.44,-0.079,1.827,0.118,-0.622,-0.1,1.558,0.917,0.566,0.367,-2.314,-0.21,0.555,0.494,0.215
-0.013,-1.078,Qatar,-0.249,0.856,78.3,13.4,9.8,129916.0,0.726,1.447,0.635,0.122,-0.972,0.437,-0.752,-0.627,0.185,0.16,0.651,0.895,-0.237,-2.907,1.591,0.879,-0.159,0.888,1.799,1.22,0.344,0.41,-1.153,0.248,0.759,-0.379,-0.498,0.672,-0.895,-0.092,-0.483,0.864,-0.293,1.05,0.015,0.091,-0.362,0.642,0.06,0.545,0.093,0.219,-0.03,0.499,1.414,-0.218,0.581,-1.11,-0.901,0.64,0.538,0.038,-0.122,0.844,0.342,-0.48,0.187,0.936,0.301,0.285,0.417,-0.354,-1.333,1.48,-0.679,0.548,0.036,-0.696,0.021,-0.95,0.86,0.141,-0.925
-1.058,-0.715,Malta,0.972,0.856,80.7,14.6,11.3,29500.0,0.481,0.197,1.05,0.543,1.2,0.904,0.319,0.862,2.024,0.502,0.858,-0.632,1.136,-0.375,0.679,-1.077,-0.371,0.761,-0.735,-1.077,0.348,0.357,0.268,0.078,0.696,2.083,-1.268,-1.5,-1.337,-1.082,0.531,-2.708,-0.618,0.325,-1.917,0.788,1.436,-0.27,-1.625,0.449,-0.55,-0.167,0.487,-1.942,-2.487,-0.031,-2.059,0.323,-1.013,0.356,-1.369,-0.152,0.408,0.316,-1.277,0.03,0.626,-0.193,-0.611,-0.306,1.169,0.838,3.284,0.509,0.099,0.726,0.266,0.865,0.302,0.27,0.38,-0.126,0.453
0.823,0.68,Cyprus,0.645,0.856,,,,,0.224,1.032,-0.535,0.049,-0.657,-2.363,1.34,0.953,0.007,1.117,-0.235,0.253,-1.106,-1.039,-0.137,1.376,-1.348,0.06,1.656,-0.763,-0.898,0.081,-0.824,0.4,0.279,0.431,-0.168,-1.479,1.337,-0.403,-0.663,-0.72,0.899,0.143,-1.471,-1.781,-1.828,0.218,0.083,0.921,-0.51,-0.012,0.767,-0.155,-0.458,0.17,0.799,-1.548,-1.76,-0.661,1.765,2.3,-0.903,-0.671,0.911,0.112,1.37,-0.773,-0.832,0.899,-0.245,-0.157,0.783,-1.628,0.039,1.44,-0.597,0.696,-0.512,2.263,-0.836,1.822,0.189
-1.221,-0.73,Poland,1.369,0.855,77.6,16.4,11.9,24117.0,-0.79,-1.486,1.317,0.041,-1.047,-1.01,-1.875,0.513,-0.19,1.448,0.038,0.82,-0.825,-1.631,-0.519,0.313,-0.715,0.388,-0.243,1.036,-0.488,-0.038,-0.518,0.202,-0.209,-1.276,0.068,1.672,1.549,0.085,0.038,-0.924,-0.826,-1.726,0.336,1.503,-2.068,-0.825,-0.415,-0.48,0.287,-0.978,0.144,-1.156,1.664,0.702,0.877,0.204,-0.446,-0.201,-0.774,-1.441,0.934,-0.151,-0.074,-0.457,-0.641,-0.114,-0.492,-0.608,0.623,-0.059,-0.267,-1.77,0.264,1.076,-0.826,1.471,-1.155,-0.505,-0.181,-0.947,0.621
